Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$45,510,316,826",0.55%
AAL,American Airlines Group Inc,Common stocks,Mid cap,Industrials,"$8,806,157,019",0.00%
AAP,Advance Auto Parts Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,816,339,749",3.71%
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,242,090,150,920",0.64%
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$292,506,676,023",3.36%
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$35,024,492,645",1.09%
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$17,034,998,403",0.00%
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$182,743,967,567",1.78%
ACGL,Arch Capital Group Ltd,Common stocks,Large cap,Financials,"$22,247,862,574",0.00%
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$190,586,685,287",1.40%
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$151,873,532,000",0.00%
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$84,548,219,165",1.82%
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$51,181,469,930",1.71%
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$107,531,654,280",1.59%
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$41,716,487,290",0.00%
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$22,390,605,057",2.71%
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$49,675,201,752",3.24%
AES,AES Corp,Common stocks,Large cap,Utilities,"$18,689,234,788",2.24%
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$44,271,345,472",2.23%
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$46,087,050,020",2.05%
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$6,817,895,912",2.12%
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$40,894,526,400",1.05%
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$14,098,343,901",0.00%
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$30,179,731,262",0.61%
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$14,632,786,713",0.00%
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$5,616,379,157",0.00%
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$34,506,417,673",2.59%
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$9,588,262,321",1.45%
